Device,DevicePin,Direction,Bus,MCU_Function,FRDM_Header,FRDM_HeaderPin,Voltage,Notes
BMP585,SDA,BIDIR,I2C,I2CBus_FC4 SDA,-,-,3.3V,
BMP585,SCL,IN,I2C,I2CBus_FC4 SCL,-,-,3.3V,
BMP585,CSB,IN,-,VDDIO,-,-,3.3V,Tie high to select I2C mode
BMP585,INT,OUT,GPIO,GPIO (optional),J3 (Arduino),D2,3.3V,Optional event interrupt
# === microSD socket (SPI FC3) ===
microSD,VDD,PWR,-,3V3,-,-,3.3V,
microSD,GND,PWR,-,GND,-,-,0V,
microSD,CS,IN,SPI,FC3_SPI_CS / GPIO,J4 (Arduino),D10,3.3V,Active low
microSD,MOSI,IN,SPI,FC3_SPI_MOSI,J4 (Arduino),D11,3.3V,
microSD,MISO,OUT,SPI,FC3_SPI_MISO,J4 (Arduino),D12,3.3V,
microSD,SCK,IN,SPI,FC3_SPI_SCK,J4 (Arduino),D13,3.3V,
microSD,CD,OUT,GPIO,GPIO (optional),J3 (Arduino),D3,3.3V,Card-detect optional
# === ESP32-WROOM (UART FC2) ===
ESP32,VCC,PWR,-,3V3,-,-,3.3V,Or 5V depending on module
ESP32,GND,PWR,-,GND,-,-,0V,
ESP32,RX (U0RXD),IN,UART,FC2_UART_TX,J3 (Arduino),D1,3.3V,MCU TX -> ESP32 RX
ESP32,TX (U0TXD),OUT,UART,FC2_UART_RX,J3 (Arduino),D0,3.3V,MCU RX <- ESP32 TX
ESP32,EN,IN,-,3V3 (or GPIO reset),-,-,3.3V,Tie high for run
ESP32,IO0,IN,-,3V3 (or GPIO boot),-,-,3.3V,Tie high for normal boot
# === Toggle switches x5 (window a/b/c, door AB/BC) ===
Toggle_a,SIG,IN,GPIO,GPIO input (pull-up),J3 (Arduino),D4,3.3V,Window a manual control
Toggle_a,GND,PWR,-,GND,-,-,0V,
Toggle_b,SIG,IN,GPIO,GPIO input (pull-up),J3 (Arduino),D5,3.3V,Window b
Toggle_b,GND,PWR,-,GND,-,-,0V,
Toggle_c,SIG,IN,GPIO,GPIO input (pull-up),J3 (Arduino),D6,3.3V,Window c
Toggle_c,GND,PWR,-,GND,-,-,0V,
Toggle_AB,SIG,IN,GPIO,GPIO input (pull-up),J3 (Arduino),D7,3.3V,Door AB
Toggle_AB,GND,PWR,-,GND,-,-,0V,
Toggle_BC,SIG,IN,GPIO,GPIO input (pull-up),J4 (Arduino),D8,3.3V,Door BC
Toggle_BC,GND,PWR,-,GND,-,-,0V,
# === EXEC button ===
Button_EXEC,SIG,IN,GPIO,GPIO input (pull-up + debounce),J4 (Arduino),D9,3.3V,Active low when pressed
Button_EXEC,GND,PWR,-,GND,-,-,0V,
# === LEDs x2 ===
LED_PWR,Anode,IN,GPIO,GPIO output -> 330 ohm,J2 (Analog),A0,3.3V,Green PWR LED
LED_PWR,Cathode,PWR,-,GND,-,-,0V,
LED_INFER,Anode,IN,GPIO,GPIO output -> 330 ohm,J2 (Analog),A1,3.3V,Orange inference LED
LED_INFER,Cathode,PWR,-,GND,-,-,0V,
# === USB-C ===
USB_C,VBUS,PWR,-,5V in/out,Onboard,USB,5V,From PC or DC; powers board
USB_C,GND,PWR,-,GND,Onboard,USB,0V,
USB_C,D+,BIDIR,USB,USB0_DP,Onboard,USB,3.3V,High-speed USB
USB_C,D-,BIDIR,USB,USB0_DM,Onboard,USB,3.3V,
# === LiPo + charger (optional) ===
LiPo,+,PWR,-,3.7V nominal,TP4056,BAT+,3.7V,2000 mAh
LiPo,-,PWR,-,GND,TP4056,BAT-,0V,
TP4056,VIN,PWR,-,From USB-C 5V,-,-,5V,Charging input
TP4056,VOUT,PWR,-,Boost to 5V or 3.3V LDO,-,-,3.7-5V,Output to MCU rail
